data set    clf    K   cov% |    ARI Purity    NMI |  ARI_t  Pur_t  NMI_t | reported
Iris        rf     3   79.3 |  0.846  0.945  0.830 |  0.936  0.975  0.905 | mean of 100 RF seeds
Seed        knn    3   77.1 |  0.762  0.914  0.714 |  0.948  0.981  0.916 | seed 2025
Wine        rf     3   77.0 |  0.911  0.970  0.889 |  0.978  0.993  0.968 | mean of 100 RF seeds
Pa          rf     2   70.3 |  0.397  0.839  0.242 |  0.394  0.839  0.245 | mean of 100 RF seeds
BC          knn    2   78.7 |  0.786  0.944  0.726 |  0.964  0.991  0.931 | seed 2025
Seg         rf    12   84.3 |  0.254  0.549  0.545 |  0.293  0.597  0.588 | mean of 100 RF seeds
Yale-B      rf    11   74.8 |  0.975  1.000  0.986 |  0.974  1.000  0.986 | mean of 100 RF seeds
Optidigits  knn   13   74.4 |  0.834  0.937  0.851 |  0.901  0.970  0.912 | seed 2025
Anuran      rf    16   92.9 |  0.918  0.927  0.806 |  0.952  0.963  0.872 | mean of 100 RF seeds
Starbeam    rf     2   95.3 |  0.989  0.997  0.975 |  0.995  0.999  0.986 | mean of 100 RF seeds
Blend       rf     9   99.0 |  0.855  0.873  0.956 |  0.858  0.875  0.959 | mean of 100 RF seeds
Bainba      rf     3   90.2 |  1.000  1.000  1.000 |  1.000  1.000  1.000 | mean of 100 RF seeds
Agg         knn    6   95.9 |  0.874  0.867  0.924 |  0.873  0.865  0.933 | seed 2025
